ID,Fecha,IDproducto,Cantidad,PrecioTotal
1,12/07/2007,65,10,"14,7770700455"
2,12/07/2007,73,10,"28,5556793213"
3,12/07/2007,86,10,"32,2499504089"
4,12/07/2007,66,70,"199,8898010254"
5,12/07/2007,69,10,"33,2484016418"
6,12/07/2007,71,10,"34,5463905334"
7,12/07/2007,68,10,"17,5727291107"
8,12/07/2007,70,5,"13,938369751"
9,12/07/2007,84,5,"18,2616596222"
10,12/07/2007,329,2,40
11,12/07/2007,315,6,102
12,12/07/2007,792,3,21
15,13/07/2007,490,10,"21,2399997711"
16,13/07/2007,491,10,"11,5399999619"
17,13/07/2007,90,10,"33,25"
18,13/07/2007,100,10,"32,3300018311"
19,13/07/2007,109,6,"20,779800415"
20,13/07/2007,103,6,"17,1798000336"
21,13/07/2007,101,10,"14,779999733"
22,13/07/2007,833,5,"17,5"
23,13/07/2007,505,5,10
24,13/07/2007,293,6,"18,0022296906"
25,13/07/2007,328,12,"207,6257019043"
26,13/07/2007,327,12,"128,0558929443"
27,13/07/2007,306,8,"58,4072303772"
28,13/07/2007,323,4,"29,2036209106"
29,13/07/2007,627,24,"43,2053489685"
30,13/07/2007,168,5,"33,5042304993"
31,13/07/2007,152,4,"52,0165710449"
32,13/07/2007,154,2,"26,0032806396"
33,13/07/2007,62,12,"25,0831699371"
34,13/07/2007,63,12,"28,5035991669"
35,13/07/2007,44,12,"28,5035991669"
36,13/07/2007,201,48,"240,0782928467"
37,13/07/2007,368,1,"17,0021495819"
38,13/07/2007,5,12,"22,2028007507"
39,13/07/2007,6,12,"32,4040908813"
40,13/07/2007,304,12,"25,2031803131"
41,13/07/2007,259,3,"15,1120100021"
42,13/07/2007,813,3,"15,1120100021"
43,13/07/2007,260,3,"12,2616500854"
44,13/07/2007,201,12,"60,0075798035"
45,13/07/2007,189,2,"27,781370163"
46,13/07/2007,187,1,"11,218629837"
47,14/07/2007,572,30,285
48,14/07/2007,574,15,285
49,14/07/2007,570,10,94
50,14/07/2007,622,2,38
51,14/07/2007,576,2,"18,6000003815"
52,14/07/2007,686,1,19
53,14/07/2007,575,4,"17,2000007629"
54,14/07/2007,399,100,166
55,14/07/2007,709,3,"85,5"
56,14/07/2007,731,66,132
57,14/07/2007,123,16,"26,6704006195"
58,14/07/2007,119,40,"103,2399978638"
59,14/07/2007,120,8,"20,6504001617"
60,14/07/2007,120,8,"20,6504001617"
61,14/07/2007,129,8,"18,630399704"
62,14/07/2007,133,8,"20,0104007721"
63,14/07/2007,122,12,"30,9995994568"
64,14/07/2007,131,6,"13,9997997284"
65,14/07/2007,118,42,"133,0014038086"
66,14/07/2007,544,6,"19,0002002716"
67,14/07/2007,127,6,"17,1000003815"
68,14/07/2007,132,6,"17,5697994232"
69,14/07/2007,140,6,"5,410200119"
70,14/07/2007,144,20,28
71,14/07/2007,637,6,"28,5"
72,14/07/2007,40,12,"21,9995994568"
73,14/07/2007,829,3,"29,25"
74,14/07/2007,324,2,16
75,14/07/2007,347,1,12
76,14/07/2007,834,1,12
77,15/07/2007,436,21,"69,3000030518"
78,15/07/2007,814,22,"145,1999969482"
79,16/07/2007,456,3,"8,25"
80,16/07/2007,835,3,"3,5999999046"
81,16/07/2007,414,50,"7,3000001907"
82,16/07/2007,659,200,"7,8000001907"
83,16/07/2007,736,1,"19,49751091"
84,16/07/2007,836,1,"19,49751091"
85,16/07/2007,169,1,"13,7182502747"
86,16/07/2007,815,1,"11,7685003281"
87,16/07/2007,169,1,"13,7182502747"
88,16/07/2007,566,25,"44,0480804443"
89,16/07/2007,404,20,"76,0830383301"
90,16/07/2007,403,14,"20,0222492218"
91,16/07/2007,289,20,"25,6279697418"
92,16/07/2007,29,182,"315,3497924805"
93,16/07/2007,28,96,"160,1779937744"
102,17/07/2007,437,15,"52,5"
103,17/07/2007,65,50,"73,9760818481"
104,17/07/2007,66,50,"142,8623962402"
105,17/07/2007,86,10,"32,2882881165"
106,17/07/2007,68,10,"17,5990695953"
107,17/07/2007,69,10,"33,2882385254"
108,17/07/2007,71,10,"34,5881690979"
109,17/07/2007,510,10,"21,1988792419"
110,17/07/2007,507,10,"22,1988296509"
111,17/07/2007,490,10,"21,237569809"
112,17/07/2007,595,10,"22,157459259"
113,17/07/2007,88,10,"17,547990799"
114,17/07/2007,107,10,"28,6367206573"
115,17/07/2007,109,10,"34,646030426"
116,17/07/2007,115,10,"12,9285202026"
117,17/07/2007,439,6,"19,947719574"
118,17/07/2007,644,10,"17,547990799"
119,17/07/2007,5,12,"22,2023906708"
120,17/07/2007,304,6,"12,601360321"
121,17/07/2007,152,4,"52,0156097412"
122,17/07/2007,168,4,"26,8028907776"
123,17/07/2007,63,24,"57,006149292"
124,17/07/2007,273,6,"14,8215999603"
125,18/07/2007,278,16,"21,4004802704"
126,18/07/2007,58,36,"68,711151123"
127,18/07/2007,57,36,"84,8503112793"
128,18/07/2007,265,24,"51,0419502258"
129,18/07/2007,282,8,"10,7002401352"
130,18/07/2007,275,12,"14,7999296188"
131,18/07/2007,585,12,"9,0002031326"
132,18/07/2007,284,12,"9,0002031326"
133,18/07/2007,601,6,"5,8003311157"
134,18/07/2007,746,6,"24,0005397797"
135,18/07/2007,276,80,"186,3081970215"
136,18/07/2007,745,6,"12,150270462"
137,18/07/2007,728,8,"15,6603498459"
138,18/07/2007,726,8,"15,6603498459"
139,18/07/2007,285,16,"37,2616386414"
140,18/07/2007,286,24,"46,9810600281"
141,18/07/2007,504,24,"55,8924598694"
142,18/07/2007,283,8,"19,8004493713"
143,18/07/2007,279,56,"130,4156951904"
144,18/07/2007,277,24,"61,9406013489"
145,18/07/2007,458,6,"4,6303038597"
146,18/07/2007,123,16,"26,6495990753"
147,18/07/2007,130,4,"6,6700000763"
148,18/07/2007,135,4,"6,6700000763"
149,18/07/2007,119,136,"351,0159912109"
150,18/07/2007,120,8,"20,6504001617"
151,18/07/2007,129,8,"18,630399704"
152,18/07/2007,133,8,"20,0200004578"
160,19/07/2007,72,15,"22,1724205017"
161,19/07/2007,65,30,"44,3448410034"
162,19/07/2007,68,10,"17,5519199371"
163,19/07/2007,74,10,"29,5632305145"
164,19/07/2007,86,10,"32,333530426"
165,19/07/2007,66,70,"200,4739074707"
166,19/07/2007,67,10,"29,5632305145"
167,19/07/2007,76,5,"17,3218898773"
168,19/07/2007,832,10,"21,2523193359"
169,19/07/2007,510,10,"21,2523193359"
170,19/07/2007,507,10,"22,1724205017"
171,19/07/2007,599,60,"23,2019996643"
172,19/07/2007,821,12,30
173,19/07/2007,189,1,"13,8800001144"
174,19/07/2007,777,11,"37,9995002747"
175,19/07/2007,420,60,"64,9980010986"
176,19/07/2007,572,20,190
177,19/07/2007,573,5,71
178,19/07/2007,574,6,114
179,19/07/2007,570,4,"37,5999984741"
180,19/07/2007,622,1,19
181,19/07/2007,709,1,"28,5"
182,19/07/2007,399,70,"116,1999969482"
183,20/07/2007,833,10,35
184,20/07/2007,505,5,15
185,20/07/2007,536,5,10
186,20/07/2007,235,12,"24,2495994568"
187,20/07/2007,328,18,"318,4200134277"
188,20/07/2007,530,24,"45,1199989319"
189,20/07/2007,5,12,"22,2000007629"
190,20/07/2007,304,6,"12,6000003815"
191,20/07/2007,273,6,"15,6000003815"
192,20/07/2007,197,2,22
193,20/07/2007,168,2,"13,3999996185"
194,20/07/2007,90,10,"33,248210907"
195,20/07/2007,531,5,"3,8497929573"
196,20/07/2007,490,10,"21,2388591766"
197,20/07/2007,633,10,"21,2388591766"
198,20/07/2007,100,20,"64,6565322876"
199,20/07/2007,117,3,"7,319606781"
200,20/07/2007,645,10,"34,6481399536"
201,20/07/2007,818,27,135
202,20/07/2007,690,6,36
203,20/07/2007,368,3,"45,75"
204,20/07/2007,369,2,"29,7999992371"
205,20/07/2007,837,1,"13,8999996185"
206,20/07/2007,328,6,"103,1999969482"
207,20/07/2007,449,12,"31,4400005341"
208,20/07/2007,300,14,"7,9800000191"
209,20/07/2007,312,2,"14,1800003052"
210,20/07/2007,837,2,"31,3400001526"
211,20/07/2007,838,2,"11,6999998093"
212,20/07/2007,380,1,"13,7899999619"
213,20/07/2007,340,18,"108,709197998"
214,20/07/2007,257,6,"12,4001998901"
215,20/07/2007,508,6,"12,4001998901"
216,20/07/2007,232,6,"33,6300010681"
217,20/07/2007,267,6,"24,3197994232"
218,20/07/2007,246,12,"14,3699998856"
219,20/07/2007,306,12,"87,6299972534"
220,20/07/2007,794,6,"31,2101993561"
221,20/07/2007,369,6,"77,9400024414"
222,20/07/2007,235,12,"24,2604007721"
223,20/07/2007,339,12,"58,7495994568"
224,20/07/2007,207,6,"29,3999996185"
225,20/07/2007,474,8,"27,9799995422"
226,20/07/2007,236,12,"27,2999992371"
227,20/07/2007,12,12,"28,8976402283"
228,20/07/2007,484,24,"56,3961791992"
229,20/07/2007,470,6,"13,3988895416"
230,20/07/2007,636,6,"21,9987106323"
231,20/07/2007,278,8,"10,6992797852"
232,20/07/2007,277,56,"138,5906066895"
233,20/07/2007,265,12,"25,5186691284"
234,20/07/2007,328,12,"207,6239929199"
235,20/07/2007,327,12,"128,0547943115"
236,20/07/2007,306,12,"87,6101226807"
237,20/07/2007,345,12,"45,6052589417"
238,20/07/2007,293,8,"24,0027694702"
239,20/07/2007,790,6,"27,0031204224"
240,21/07/2007,428,12,"27,9995994568"
241,21/07/2007,123,16,"26,7199993134"
242,21/07/2007,119,96,"247,6799926758"
243,21/07/2007,129,8,"18,6399993896"
244,21/07/2007,133,8,20
245,21/07/2007,839,6,"13,9997997284"
246,21/07/2007,125,9,"19,5002994537"
247,21/07/2007,118,42,"133,0014038086"
248,21/07/2007,544,6,"19,0002002716"
249,21/07/2007,127,6,"17,1000003815"
250,21/07/2007,132,6,"17,5697994232"
251,21/07/2007,169,2,28
252,21/07/2007,40,12,"21,9995994568"
