ID,IdTipoProducto,nProducto,pCosto,pVenta,CodEnvase
-18,-1,Concepto 8,0,0,No Tiene
-17,-1,Concepto 7,0,0,No Tiene
-16,-1,Concepto 6,0,0,No Tiene
-15,-1,Concepto 5,0,0,No Tiene
-14,-1,Concepto 4,0,0,No Tiene
-13,-1,Concepto 3,0,0,No Tiene
-12,-1,Concepto 2,0,0,No Tiene
-11,-1,Concepto 1,0,0,No Tiene
-2,-1,IVA,0,0,No Tiene
-1,-1,Descuentos,0,0,No Tiene
1,10,Granadina Cusenier,35,43,Cerveza
2,2,Brahma,"15,2473106384",20,Cerveza
3,2,Andes,"16,4001235962",20,Cerveza
4,2,Budweiser,"17,889705658",22,Cerveza
5,2,Cordoba,"15,8332223892",20,Cerveza
6,2,Heineken,"31,2754993439",38,Cerveza
7,2,Isenbeck descartable,"16,7900543213",20,No tiene
8,2,Quilmes LIEBER sin alcohol,"19,0874328613",23,Cerveza
9,2,Lata Brahma 354cc,"11,240942955",13,Cerveza
10,2,Stella monjita,"17,8883838654",22,Cerveza
11,2,Quilmes,"16,4587154388",20,Cerveza
12,2,Quilmes Bock,"22,0024032593",28,Cerveza
13,7,Lata Coca linea,"6,6671676636",8,Cerveza
14,2,Warsteiner,"14,8656387329",2,Cerveza
15,2,Mahou monjita (españa),"14,0011787415",17,No tiene
16,13,Trapiche rosado,"20,7507419586",25,No tiene
17,2,Quilmes BAJO CERO,"19,2014198303",23,No tiene
18,2,Imperial Trigo,"24,12682724",28,No tiene
19,2,Sol Cerveza (mexico),"24,4882965088",30,No tiene
20,2,Iguana,"21,2048168182",28,Cerveza
21,2,Stella Artois Noire,"29,755197525",38,No tiene
23,16,Arizu bco,0,0,No tiene
24,16,Arizu tto,"6,9800000191",8,No tiene
25,16,Arriero bco,"1,1799999475","1,5",No tiene
26,16,Arriero tto,"1,5199999809","1,75",No tiene
27,10,Bolsa Regalo,"3,5294001102",5,No tiene
28,16,Carragal bco,"4,0999999046",5,No tiene
29,16,Carragal tto,"5,0487990379",6,No tiene
30,16,Cavic blanco,"1,5399999619","1,8999999762",No tiene
31,16,Cavic bco dce,"1,5038000345",2,No tiene
32,16,Cavic rosado,0,0,No tiene
33,16,Cavic tto,2,"2,4000000954",No tiene
34,16,Crespi bco,"1,25","1,6499999762",No tiene
35,16,Crespi tinto,"1,6799999475",2,No tiene
36,16,Del Valle bco,"1,2100000381","1,5",No tiene
37,16,Del Valle tto,"1,4500000477","1,75",No tiene
40,1,Aquarius 1500cc,"12,8577537537",18,No tiene
42,13,Cavas de Santino magnum,"19,8767852783",25,No tiene
43,16,Nacari Blanco tetra,"4,612654686","5,25",No tiene
44,16,Nacari Tinto tetra,"4,7258200645","6,5",No tiene
45,16,Nativo blanco,"2,1598329544","2,75",No tiene
46,16,Nativo tinto,"6,3333001137","7,5",No tiene
47,16,Pico de oro,"4,400144577","5,5",No tiene
48,10,Encendedor Elect Marlboro,6,8,No tiene
49,16,Resero bco,"4,1666998863",5,No tiene
50,16,Resero tto,"5,9416999817","7,5",No tiene
53,16,Termidor ros,"1,8899999857","2,4000000954",No tiene
54,15,Don Ernesto tinto damaj,"42,0076293945",50,No tiene
55,16,Ternuva bco,0,0,No tiene
56,16,Termidor tto,"7,4600000381",9,No tiene
